scaffold	start	end	PPrD	PPrK	PPrGenomeD	PPrGenomeK	PangD	PangK	PangGenomeD	PangGenomeK	PfreD	PfreK	PfreGenomeD	PfreGenomeK	PlasD	PlasK	PlasGenomeD	PlasGenomeK	PnigD	PnigK	PnigGenomeD	PnigGenomeK	PtrD	PtrK	PtrGenomeD	PtrGenomeK	PtreD	PtreK	PtreGenomeD	PtreGenomeK	pbaD	pbaK	pbaGenomeD	pbaGenomeK	peuD	peuK	peuGenomeD	peuGenomeK	pilD	pilK	pilGenomeD	pilGenomeK	plauD	plauK	plauGenomeD	plauGenomeK	pteD	pteK	pteGenomeD	pteGenomeK
scaffold	1	10000	82	272	32281	54575	15	6	9785	4423	6	13	1347	4181	18	7	8492	3568	18	7	8164	3163	9	160	11715	22554	21	29	21632	8765	11	126	10572	20614	101	189	30776	59847	155	14	52756	9350	9	14	8263	3595	41	61	21325	21986
scaffold	10001	20000	122	270	32281	54575	13	19	9785	4423	1	5	1347	4181	25	6	8492	3568	7	4	8164	3163	32	57	11715	22554	11	30	21632	8765	12	53	10572	20614	129	256	30776	59847	207	36	52756	9350	12	23	8263	3595	26	62	21325	21986
scaffold	20001	30000	84	231	32281	54575	23	81	9785	4423	4	38	1347	4181	48	58	8492	3568	59	4	8164	3163	44	128	11715	22554	66	46	21632	8765	31	146	10572	20614	83	243	30776	59847	186	13	52756	9350	74	4	8263	3595	70	110	21325	21986
scaffold	30001	40000	40	36	32281	54575	7	31	9785	4423	2	61	1347	4181	12	41	8492	3568	22	1	8164	3163	18	86	11715	22554	38	30	21632	8765	21	106	10572	20614	31	88	30776	59847	89	33	52756	9350	30	1	8263	3595	51	82	21325	21986
scaffold	40001	50000	0	91	32281	54575	0	0	9785	4423	0	2	1347	4181	0	2	8492	3568	0	0	8164	3163	0	28	11715	22554	0	2	21632	8765	0	6	10572	20614	1	65	30776	59847	6	62	52756	9350	0	0	8263	3595	0	7	21325	21986
scaffold	50001	60000	0	0	32281	54575	0	0	9785	4423	0	16	1347	4181	0	0	8492	3568	0	0	8164	3163	0	7	11715	22554	0	4	21632	8765	0	7	10572	20614	0	3	30776	59847	1	10	52756	9350	0	0	8263	3595	0	11	21325	21986
scaffold	60001	70000	79	77	32281	54575	27	3	9785	4423	28	4	1347	4181	35	7	8492	3568	26	1	8164	3163	21	32	11715	22554	48	24	21632	8765	19	38	10572	20614	78	90	30776	59847	155	23	52756	9350	20	0	8263	3595	68	36	21325	21986
scaffold	70001	80000	131	213	32281	54575	44	15	9785	4423	6	5	1347	4181	34	11	8492	3568	28	7	8164	3163	30	129	11715	22554	125	48	21632	8765	34	93	10572	20614	139	224	30776	59847	236	22	52756	9350	26	2	8263	3595	102	109	21325	21986
scaffold	80001	90000	46	235	32281	54575	26	2	9785	4423	1	2	1347	4181	8	4	8492	3568	11	0	8164	3163	31	39	11715	22554	27	7	21632	8765	22	31	10572	20614	58	262	30776	59847	104	19	52756	9350	8	1	8263	3595	29	15	21325	21986
scaffold	90001	100000	132	164	32281	54575	57	10	9785	4423	7	11	1347	4181	56	4	8492	3568	24	3	8164	3163	54	105	11715	22554	81	17	21632	8765	54	106	10572	20614	131	146	30776	59847	252	5	52756	9350	52	6	8263	3595	104	57	21325	21986
scaffold	100001	110000	80	245	32281	54575	27	8	9785	4423	8	13	1347	4181	20	4	8492	3568	12	0	8164	3163	48	58	11715	22554	57	43	21632	8765	43	52	10572	20614	84	235	30776	59847	175	29	52756	9350	30	5	8263	3595	64	121	21325	21986
