#scaffold	start	end	D	K	GenomeD	GenomeK
scaffold	1	1000	82	272	32281	54575
scaffold	10001	2000	122	270	32281	54575
scaffold	20001	3000	84	231	32281	54575
scaffold	30001	4000	40	36	32281	54575
scaffold	40001	5000	0	91	32281	54575
scaffold	60001	7000	79	77	32281	54575
scaffold	70001	8000	131	213	32281	54575
scaffold	80001	9000	46	235	32281	54575
scaffold	90001	10000	132	164	32281	54575
scaffold	100001	11000	80	245	32281	54575
scaffold	110001	12000	106	210	32281	54575
scaffold	120001	13000	168	132	32281	54575
scaffold	130001	14000	68	263	32281	54575
scaffold	140001	15000	164	230	32281	54575
scaffold	150001	16000	238	206	32281	54575
scaffold	160001	17000	64	242	32281	54575
scaffold	170001	18000	107	234	32281	54575
scaffold	180001	19000	109	328	32281	54575
scaffold	190001	20000	90	147	32281	54575
scaffold	200001	21000	90	312	32281	54575
scaffold	210001	22000	157	121	32281	54575
scaffold	220001	23000	103	252	32281	54575
scaffold	230001	24000	68	159	32281	54575
scaffold	240001	25000	193	148	32281	54575
scaffold	250001	26000	138	167	32281	54575
scaffold	260001	27000	110	119	32281	54575
scaffold	270001	28000	121	195	32281	54575
scaffold	280001	29000	82	277	32281	54575
scaffold	290001	30000	122	163	32281	54575
scaffold	300001	31000	97	185	32281	54575
scaffold	310001	32000	87	239	32281	54575
scaffold	320001	33000	38	421	32281	54575
scaffold	330001	34000	63	281	32281	54575
scaffold	340001	35000	129	168	32281	54575
scaffold	350001	36000	117	198	32281	54575
scaffold	360001	37000	142	191	32281	54575
scaffold	370001	38000	99	191	32281	54575
scaffold	380001	39000	79	163	32281	54575
scaffold	390001	40000	70	113	32281	54575
scaffold	400001	41000	82	205	32281	54575
scaffold	410001	42000	99	220	32281	54575
scaffold	420001	43000	126	258	32281	54575
scaffold	430001	44000	121	171	32281	54575
scaffold	440001	45000	74	232	32281	54575
scaffold	450001	46000	125	174	32281	54575
scaffold	460001	47000	148	151	32281	54575
scaffold	470001	48000	66	264	32281	54575
scaffold	480001	49000	114	141	32281	54575
scaffold	490001	50000	107	203	32281	54575
scaffold	500001	51000	66	220	32281	54575
scaffold	510001	52000	102	309	32281	54575
scaffold	520001	53000	96	193	32281	54575
scaffold	530001	54000	134	211	32281	54575
scaffold	540001	55000	124	135	32281	54575
scaffold	550001	56000	56	78	32281	54575
scaffold	560001	57000	54	178	32281	54575
scaffold	570001	58000	94	163	32281	54575
